Delivery_Surcharge_Amount,Actual_Delivery_Time_Minutes,Delivery_Distance_km,Outlet_Location_Type,Item_Weight_kg,Weather_Condition,Day_of_Week,Time_of_Day_Peak,Realtime_Courier_Availability,Local_Order_Volume
88.46,66.3,14.0,Tier 3,9.04,Fog,Saturday,Afternoon,54,388
89.07,67.6,10.21,Tier 2,9.49,Clear,Saturday,Afternoon,37,122
60.3,19.1,14.7,Tier 1,13.37,Clear,Monday,Off-Peak,30,408
63.19,22.9,14.17,Tier 2,12.29,Fog,Friday,Afternoon,15,215
90.86,44.5,18.26,Tier 2,7.38,Heavy Snow,Monday,Afternoon,10,44
19.55,55.4,13.64,Tier 2,7.42,Rain,Saturday,Morning Peak,22,413
76.71,51.9,16.94,Tier 2,11.13,Clear,Friday,Dinner Peak,5,437
94.18,84.1,14.48,Tier 1,7.76,Clear,Sunday,Off-Peak,33,293
47.74,69.5,10.91,Tier 1,6.99,Clear,Monday,Dinner Peak,14,352
60.12,19.6,7.56,Tier 3,7.37,Rain,Saturday,Off-Peak,36,74
53.04,91.9,14.65,Tier 1,4.27,Clear,Saturday,Off-Peak,35,374
92.13,22.5,21.41,Tier 1,0.89,Rain,Thursday,Morning Peak,18,14
52.36,44.4,15.17,Tier 2,13.36,Fog,Thursday,Dinner Peak,51,276
107.58,22.0,16.34,Tier 2,12.61,Rain,Monday,Afternoon,59,103
64.19,53.9,6.93,Tier 2,6.46,Clear,Friday,Morning Peak,56,206
92.07,29.8,3.36,Tier 1,13.84,Clear,Saturday,Off-Peak,30,461
103.28,16.0,17.12,Tier 1,11.21,Clear,Tuesday,Afternoon,42,360
110.98,48.7,1.95,Tier 2,9.44,Clear,Saturday,Dinner Peak,34,171
84.75,42.2,12.33,Tier 1,3.74,Rain,Tuesday,Dinner Peak,1,424
80.67,83.7,7.25,Tier 3,0.98,Clear,Tuesday,Morning Peak,45,476
60.21,29.6,13.5,Tier 2,1.6,Rain,Tuesday,Morning Peak,41,66
106.79,35.0,13.03,Tier 1,1.71,Clear,Friday,Off-Peak,15,402
106.76,32.8,15.28,Tier 1,2.42,Rain,Wednesday,Afternoon,23,27
28.62,32.4,12.19,Tier 1,2.53,Fog,Monday,Dinner Peak,44,398
27.25,46.3,4.53,Tier 1,8.32,Fog,Friday,Off-Peak,44,373
112.4,18.0,13.07,Tier 1,5.4,Clear,Saturday,Dinner Peak,2,252
30.62,93.2,13.65,Tier 2,4.76,Clear,Saturday,Dinner Peak,17,487
41.6,64.2,7.24,Tier 1,3.25,Fog,Tuesday,Morning Peak,52,9
86.48,48.7,0.62,Tier 1,10.04,Rain,Saturday,Morning Peak,57,458
125.32,68.5,2.77,Tier 2,1.42,Clear,Wednesday,Afternoon,33,444
81.43,92.0,9.36,Tier 2,13.66,Clear,Saturday,Dinner Peak,38,499
80.15,65.6,22.29,Tier 2,7.06,Clear,Friday,Morning Peak,51,189
66.9,76.8,12.09,Tier 1,9.37,Rain,Saturday,Afternoon,35,309
109.51,42.8,16.08,Tier 2,3.18,Clear,Thursday,Afternoon,9,270
63.13,23.8,7.0,Tier 1,10.21,Clear,Monday,Off-Peak,34,476
16.61,94.0,4.37,Tier 3,2.63,Clear,Tuesday,Morning Peak,58,389
76.36,29.4,5.94,Tier 3,2.38,Clear,Sunday,Morning Peak,6,31
110.5,51.6,10.88,Tier 1,12.27,Clear,Wednesday,Off-Peak,20,218
18.46,44.4,14.62,Tier 2,13.88,Rain,Wednesday,Dinner Peak,12,246
80.61,45.6,2.24,Tier 2,1.06,Rain,Saturday,Dinner Peak,9,305
25.4,51.2,14.24,Tier 2,12.77,Rain,Monday,Off-Peak,8,380
102.47,76.4,1.2,Tier 2,11.48,Clear,Tuesday,Off-Peak,40,314
31.08,83.0,7.44,Tier 1,2.29,,Friday,Morning Peak,48,267
121.1,70.0,21.09,Tier 1,2.56,Rain,Monday,Dinner Peak,30,96
132.09,49.7,14.5,Tier 1,10.1,Clear,Friday,Dinner Peak,18,182
22.72,17.1,6.93,Tier 1,8.73,Clear,Tuesday,Morning Peak,19,385
80.93,83.7,7.64,Tier 1,3.18,Clear,Wednesday,Afternoon,50,308
71.94,44.3,3.59,Tier 3,6.24,Clear,Tuesday,Off-Peak,54,39
22.21,54.6,19.02,Tier 1,10.26,Clear,Sunday,Morning Peak,8,239
11.24,87.1,13.04,Tier 1,12.11,Clear,Monday,Afternoon,49,131
27.28,73.2,11.31,Tier 1,8.15,Heavy Snow,Wednesday,Afternoon,46,458
68.09,34.4,15.6,Tier 1,9.57,Clear,Tuesday,Dinner Peak,50,346
100.02,45.8,8.1,Tier 1,8.97,Clear,Wednesday,Dinner Peak,51,124
73.09,34.1,9.5,Tier 1,6.08,Heavy Snow,Friday,Off-Peak,48,298
115.73,32.3,11.71,Tier 3,1.15,Clear,Wednesday,Morning Peak,31,171
15.65,36.2,16.15,Tier 2,6.05,Rain,Wednesday,Afternoon,41,261
114.48,63.7,15.89,Tier 1,14.38,Clear,Sunday,Off-Peak,10,459
21.62,34.5,13.17,Tier 2,0.39,Rain,Saturday,Afternoon,42,17
22.04,41.8,6.86,Tier 1,0.62,Rain,Saturday,Afternoon,39,187
31.76,80.1,13.54,Tier 2,13.76,Clear,Saturday,Afternoon,34,301
25.09,94.5,13.34,Tier 1,4.43,Clear,Saturday,Afternoon,29,491
62.17,41.9,16.26,Tier 3,12.08,Rain,Sunday,Afternoon,5,479
89.26,59.1,7.35,Tier 1,6.37,Clear,Wednesday,Off-Peak,22,304
117.0,70.7,6.84,Tier 3,0.65,Heavy Snow,Thursday,Afternoon,21,200
51.97,27.3,9.92,Tier 1,3.46,Rain,Wednesday,Morning Peak,29,355
109.95,16.2,0.91,Tier 3,14.8,Rain,Friday,Morning Peak,29,447
79.29,82.8,22.48,Tier 2,4.88,Clear,Wednesday,Off-Peak,31,379
83.83,79.9,10.14,Tier 1,13.85,Heavy Snow,Wednesday,Afternoon,18,210
31.73,34.7,17.19,Tier 1,13.32,Clear,Thursday,Morning Peak,27,23
81.11,79.2,12.95,Tier 1,13.12,Clear,Saturday,Afternoon,35,420
52.48,15.0,18.86,Tier 1,0.59,Clear,Monday,Afternoon,35,398
98.33,46.3,3.58,Tier 1,15.96,Rain,Tuesday,Off-Peak,19,202
79.21,61.6,6.57,Tier 2,9.77,Rain,Friday,Dinner Peak,27,123
30.03,43.3,6.07,Tier 2,11.49,Clear,Saturday,Off-Peak,57,152
8.77,45.2,0.61,Tier 2,9.07,Rain,Thursday,Dinner Peak,55,337
39.34,44.1,1.01,Tier 3,14.1,Clear,Saturday,Afternoon,46,127
105.1,66.4,12.69,Tier 2,12.21,Clear,Friday,Afternoon,54,125
11.96,21.7,12.35,Tier 1,1.38,Clear,Saturday,Afternoon,20,117
101.83,89.3,10.66,Tier 2,11.44,Rain,Wednesday,Afternoon,17,490
100.04,56.9,12.01,Tier 3,11.94,Rain,Tuesday,Afternoon,20,430
84.57,91.3,10.7,Tier 1,0.25,Clear,Wednesday,Morning Peak,2,371
91.92,39.3,2.65,Tier 2,7.63,Clear,Thursday,Afternoon,42,317
109.77,30.7,18.36,Tier 3,11.57,Clear,Wednesday,Morning Peak,10,419
118.64,68.8,2.13,Tier 1,6.82,Clear,Sunday,Dinner Peak,41,78
40.05,64.5,2.37,Tier 1,11.9,Fog,Friday,Afternoon,55,335
86.97,16.6,9.93,Tier 3,10.55,Rain,Thursday,Afternoon,59,222
59.47,48.5,16.28,Tier 1,4.12,Rain,Saturday,Morning Peak,15,88
106.33,58.6,1.81,Tier 1,5.57,Clear,Friday,Dinner Peak,7,329
111.68,34.2,10.91,Tier 3,12.77,,Sunday,Dinner Peak,29,293
33.86,16.1,10.53,Tier 3,2.34,Fog,Thursday,Morning Peak,14,76
18.25,45.7,15.04,Tier 2,14.69,Rain,Friday,Afternoon,37,250
109.1,38.5,6.98,Tier 3,5.96,Clear,Monday,Off-Peak,27,248
39.17,51.8,17.22,Tier 3,1.49,Fog,Tuesday,Dinner Peak,17,455
133.18,58.0,19.42,Tier 1,8.3,Clear,Saturday,Afternoon,19,222
65.33,89.7,11.72,Tier 2,7.36,Clear,Monday,Dinner Peak,58,445
72.67,87.9,0.89,Tier 1,6.23,Rain,Sunday,Off-Peak,17,446
35.06,29.9,13.63,Tier 2,10.79,Clear,Wednesday,Afternoon,34,283
36.08,33.6,1.09,Tier 2,14.06,Clear,Thursday,Afternoon,24,346
87.81,90.3,15.84,Tier 1,14.06,Clear,Tuesday,Afternoon,5,130
72.96,40.5,19.75,Tier 2,6.02,Clear,Thursday,Dinner Peak,37,314
119.97,69.4,6.44,Tier 1,13.78,Rain,Sunday,Morning Peak,56,423
67.59,61.5,9.58,Tier 2,1.58,Rain,Monday,Morning Peak,36,147
41.55,20.1,1.0,Tier 1,4.33,Clear,Sunday,Afternoon,57,74
41.19,75.1,16.4,Tier 2,13.26,Clear,Wednesday,Afternoon,3,92
87.21,33.5,2.44,Tier 1,6.07,Fog,Tuesday,Off-Peak,30,180
75.29,65.6,1.03,Tier 2,2.29,Clear,Monday,Off-Peak,58,24
75.82,62.1,13.65,Tier 1,5.72,Rain,Friday,Afternoon,36,465
71.36,26.4,3.6,Tier 1,1.73,Rain,Wednesday,Dinner Peak,19,404
72.68,53.7,1.93,Tier 1,10.53,Clear,Wednesday,Afternoon,59,272
67.38,40.9,6.73,Tier 2,8.53,Clear,Sunday,Afternoon,11,367
27.34,81.9,16.75,Tier 1,10.35,Clear,Tuesday,Off-Peak,23,301
28.87,48.9,2.72,Tier 1,13.04,Clear,Sunday,Dinner Peak,6,51
85.95,57.8,16.8,Tier 1,10.76,Clear,Tuesday,Off-Peak,21,18
55.57,25.4,14.76,Tier 1,3.34,Clear,Tuesday,Afternoon,55,153
89.8,63.2,17.91,Tier 3,0.33,Clear,Monday,Afternoon,32,498
67.67,76.2,20.59,Tier 1,9.88,Clear,Wednesday,Off-Peak,35,496
50.39,64.6,8.8,Tier 2,14.4,Rain,Monday,Morning Peak,30,64
58.51,39.5,11.25,Tier 1,14.2,,Sunday,Dinner Peak,49,208
111.1,83.4,19.32,Tier 1,1.76,Clear,Wednesday,Morning Peak,50,52
94.37,24.6,21.0,Tier 3,0.95,Clear,Tuesday,Off-Peak,57,275
71.87,86.0,7.48,Tier 2,6.51,Clear,Sunday,Dinner Peak,42,336
75.36,66.9,5.34,Tier 2,3.33,Clear,Sunday,Morning Peak,23,212
85.12,47.4,9.72,Tier 1,9.6,Clear,Saturday,Off-Peak,33,285
15.62,19.3,10.56,Tier 1,1.66,Clear,Saturday,Off-Peak,41,97
66.55,49.3,2.5,Tier 1,3.03,Clear,Friday,Afternoon,48,213
79.27,76.5,18.4,Tier 1,14.1,Rain,Saturday,Off-Peak,21,432
124.89,16.9,11.45,Tier 1,9.24,Clear,Saturday,Dinner Peak,33,73
107.35,38.1,4.09,Tier 1,1.38,Clear,Wednesday,Morning Peak,27,145
46.35,25.1,3.04,Tier 3,8.35,Fog,Thursday,Afternoon,31,335
32.01,99.4,8.32,Tier 2,7.35,Rain,Monday,Dinner Peak,54,428
84.46,73.9,12.38,Tier 1,13.42,Clear,Wednesday,Off-Peak,49,406
23.01,76.2,10.92,Tier 1,4.16,Clear,Friday,Dinner Peak,11,269
83.13,67.4,10.48,Tier 1,13.6,Clear,Saturday,Morning Peak,17,102
59.35,82.6,15.86,Tier 2,8.28,Clear,Saturday,Afternoon,5,366
15.71,44.8,12.83,Tier 1,14.14,Clear,Thursday,Afternoon,13,368
102.18,82.3,14.6,Tier 2,6.48,Fog,Saturday,Dinner Peak,30,305
33.65,24.8,6.34,Tier 1,12.72,Fog,Sunday,Afternoon,27,248
91.6,45.1,11.06,Tier 1,12.56,Clear,Saturday,Afternoon,54,282
102.72,38.3,3.58,Tier 2,2.83,Clear,Sunday,Afternoon,23,244
37.97,72.6,14.79,Tier 1,11.55,Heavy Snow,Wednesday,Dinner Peak,58,95
58.15,52.1,15.52,Tier 2,5.67,Rain,Sunday,Morning Peak,37,489
101.47,71.8,8.4,Tier 1,11.99,Clear,Wednesday,Dinner Peak,24,118
46.66,33.0,3.16,Tier 1,14.43,Clear,Wednesday,Dinner Peak,9,420
46.77,73.2,17.08,Tier 2,11.75,Heavy Snow,Wednesday,Off-Peak,53,386
49.73,42.5,5.57,Tier 1,12.58,Clear,Saturday,Off-Peak,57,330
89.55,40.1,7.23,Tier 3,2.81,Rain,Friday,Afternoon,8,131
60.91,38.0,7.04,Tier 3,8.51,Rain,Thursday,Afternoon,47,463
53.77,31.0,3.42,Tier 1,2.7,Clear,Monday,Off-Peak,41,490
101.28,61.2,0.96,Tier 2,6.4,Clear,Tuesday,Off-Peak,39,37
112.02,37.9,18.77,Tier 3,5.22,Fog,Thursday,Off-Peak,54,337
130.55,81.7,7.79,Tier 2,13.63,Clear,Thursday,Morning Peak,28,112
9.59,76.6,14.33,Tier 2,13.27,Clear,Saturday,Morning Peak,14,313
92.24,29.1,14.72,Tier 1,1.92,Clear,Sunday,Dinner Peak,14,386
95.6,89.0,16.6,Tier 1,8.88,Rain,Wednesday,Afternoon,24,181
38.61,15.5,4.89,Tier 1,5.79,Clear,Tuesday,Dinner Peak,8,394
14.65,25.7,4.77,Tier 3,16.02,Clear,Thursday,Off-Peak,52,152
87.48,21.8,13.44,Tier 3,6.91,Clear,Monday,Afternoon,42,413
13.53,62.3,5.74,Tier 2,2.92,Clear,Saturday,Morning Peak,42,381
62.67,65.5,15.39,Tier 3,5.69,Clear,Monday,Afternoon,31,195
12.28,41.7,11.24,Tier 3,9.1,Clear,Saturday,Dinner Peak,6,153
109.66,58.0,8.72,Tier 3,10.26,Fog,Tuesday,Afternoon,5,379
83.95,62.5,13.89,Tier 1,0.81,Clear,Monday,Afternoon,26,209
73.64,74.8,1.34,Tier 1,6.22,Clear,Friday,Afternoon,13,258
77.35,71.6,12.0,Tier 2,14.13,Clear,Thursday,Morning Peak,27,376
48.73,94.5,7.31,Tier 3,3.21,Fog,Sunday,Afternoon,13,481
45.3,20.2,16.41,Tier 2,13.48,Clear,Monday,Off-Peak,50,97
87.02,62.5,0.54,Tier 1,3.87,Clear,Wednesday,Afternoon,39,125
75.3,23.4,18.45,Tier 1,3.18,Rain,Saturday,Off-Peak,4,211
45.18,19.8,17.39,Tier 2,2.94,Fog,Saturday,Off-Peak,25,348
71.1,55.2,8.22,Tier 3,3.08,Rain,Wednesday,Off-Peak,4,262
59.27,85.5,16.09,Tier 1,10.76,Fog,Tuesday,Afternoon,2,185
22.06,32.7,1.04,Tier 2,4.62,Clear,Thursday,Afternoon,20,386
64.39,69.5,7.27,Tier 2,4.36,Fog,Thursday,Dinner Peak,1,170
25.86,14.1,14.83,Tier 1,8.82,Clear,Saturday,Dinner Peak,56,274
108.03,14.8,21.17,Tier 1,6.73,Rain,Friday,Afternoon,37,268
95.89,48.6,20.08,Tier 2,3.58,Clear,Monday,Off-Peak,59,48
19.86,50.2,3.59,Tier 1,11.18,Clear,Saturday,Afternoon,24,202
70.29,72.8,12.7,Tier 1,13.36,Clear,Monday,Morning Peak,16,492
102.42,61.9,8.12,Tier 1,11.66,Rain,Saturday,Afternoon,55,161
24.81,15.5,8.0,Tier 2,10.76,Rain,Wednesday,Dinner Peak,22,317
25.02,37.2,21.0,Tier 1,8.4,Clear,Saturday,Off-Peak,18,432
118.25,62.8,3.89,Tier 2,5.72,Clear,Thursday,Afternoon,5,403
82.95,64.5,3.59,Tier 3,6.4,Clear,Wednesday,Morning Peak,56,134
77.6,41.2,9.15,Tier 2,7.02,Clear,Tuesday,Morning Peak,19,311
27.56,43.4,11.03,Tier 3,10.56,Rain,Friday,Afternoon,34,151
61.06,85.1,7.53,Tier 1,11.81,Clear,Saturday,Off-Peak,37,281
27.28,79.3,3.84,Tier 2,14.21,Clear,Sunday,Off-Peak,10,432
38.72,35.7,1.67,Tier 3,11.63,Clear,Thursday,Dinner Peak,17,125
58.51,33.5,11.0,Tier 1,7.72,Clear,Sunday,Morning Peak,6,188
31.75,58.8,17.94,Tier 2,4.28,Clear,Tuesday,Dinner Peak,17,25
38.28,74.9,5.14,Tier 1,3.57,Clear,Friday,Dinner Peak,3,387
45.23,23.3,9.92,Tier 1,2.75,Clear,Sunday,Morning Peak,12,39
110.85,28.2,9.82,Tier 1,10.74,Heavy Snow,Monday,Morning Peak,43,357
13.02,39.4,17.15,Tier 1,6.43,Clear,Friday,Dinner Peak,22,146
85.25,68.8,11.94,Tier 1,13.29,Fog,Saturday,Morning Peak,14,299
67.53,21.6,19.08,Tier 1,8.46,Clear,Friday,Dinner Peak,43,168
28.47,59.3,7.4,Tier 2,10.2,Rain,Saturday,Dinner Peak,5,483
16.32,37.8,16.69,Tier 1,0.78,Clear,Friday,Afternoon,55,169
118.14,93.4,4.39,Tier 2,4.36,Fog,Wednesday,Afternoon,2,242
78.0,70.5,1.14,Tier 1,12.43,Heavy Snow,Tuesday,Afternoon,29,293
94.84,17.6,16.6,Tier 1,11.14,Clear,Sunday,Dinner Peak,25,156
27.0,53.5,8.01,Tier 3,10.33,Clear,Tuesday,Afternoon,55,44
55.62,75.0,16.87,Tier 2,8.77,Clear,Friday,Off-Peak,6,49
35.05,17.5,14.6,Tier 3,16.26,Clear,Thursday,Off-Peak,11,463
51.36,73.6,4.88,Tier 3,0.52,Clear,Saturday,Dinner Peak,18,125
40.93,41.8,8.59,Tier 2,14.15,Clear,Sunday,Afternoon,47,398
71.57,65.6,3.7,Tier 2,10.08,Fog,Thursday,Dinner Peak,53,248
71.23,24.6,14.16,Tier 1,9.82,Rain,Thursday,Morning Peak,47,302
124.4,75.1,11.91,Tier 1,5.71,Clear,Tuesday,Off-Peak,50,351
33.45,98.2,18.14,Tier 1,8.43,Fog,Thursday,Dinner Peak,41,369
68.97,19.9,17.23,Tier 2,5.34,Rain,Monday,Off-Peak,39,80
86.72,30.9,3.2,Tier 1,9.3,Rain,Wednesday,Dinner Peak,36,171
40.11,79.2,13.99,Tier 1,9.34,Clear,Saturday,Afternoon,57,64
84.31,64.5,12.95,Tier 3,2.76,Clear,Friday,Dinner Peak,37,337
34.54,68.1,10.95,Tier 1,12.4,Clear,Wednesday,Afternoon,4,474
37.05,76.2,8.48,Tier 2,12.07,Rain,Friday,Afternoon,37,488
116.71,68.0,6.97,Tier 2,14.69,Fog,Sunday,Afternoon,56,79
70.2,47.8,3.13,Tier 2,2.44,Heavy Snow,Thursday,Dinner Peak,55,374
17.76,20.4,7.95,Tier 3,2.94,Clear,Wednesday,Morning Peak,10,56
124.17,79.6,16.41,Tier 1,13.51,Rain,Monday,Afternoon,23,113
72.07,58.8,16.75,Tier 2,10.55,Clear,Friday,Off-Peak,39,292
74.35,59.2,9.51,Tier 1,3.56,Clear,Saturday,Afternoon,23,6
106.16,19.5,11.56,Tier 2,11.36,Clear,Friday,Dinner Peak,5,257
25.97,43.2,8.67,Tier 1,4.89,Clear,Thursday,Dinner Peak,12,244
75.04,66.5,15.8,Tier 1,5.5,Clear,Thursday,Off-Peak,34,282
120.39,23.9,21.27,Tier 1,10.08,Clear,Friday,Afternoon,13,79
25.85,66.4,8.94,Tier 2,2.51,Clear,Monday,Dinner Peak,43,79
60.78,54.3,4.67,Tier 2,8.85,Clear,Tuesday,Afternoon,47,366
51.75,40.1,15.78,Tier 1,5.66,Clear,Sunday,Afternoon,33,72
17.39,92.8,2.71,Tier 2,11.18,Clear,Wednesday,Morning Peak,56,351
57.17,19.6,7.34,Tier 1,10.97,Clear,Tuesday,Morning Peak,42,65
17.26,41.6,6.12,Tier 1,13.97,Rain,Tuesday,Morning Peak,2,319
66.03,32.5,14.94,Tier 2,9.36,Rain,Friday,Dinner Peak,40,75
15.29,51.4,10.43,Tier 2,9.6,Clear,Sunday,Morning Peak,56,228
25.99,48.0,18.08,Tier 2,8.78,Rain,Saturday,Afternoon,6,117
94.72,65.3,11.57,Tier 1,16.07,Clear,Thursday,Afternoon,33,59
107.94,33.4,14.45,Tier 1,7.44,Clear,Thursday,Morning Peak,44,7
18.58,52.7,9.26,Tier 3,16.61,Clear,Tuesday,Afternoon,49,60
47.94,84.5,13.01,Tier 3,11.54,Clear,Wednesday,Afternoon,51,136
100.79,72.4,11.66,Tier 1,0.49,Clear,Monday,Off-Peak,51,470
62.07,16.2,5.63,Tier 3,10.0,Clear,Monday,Afternoon,9,432
117.94,67.9,12.71,Tier 1,2.4,Fog,Saturday,Off-Peak,18,5
42.07,75.2,22.66,Tier 1,3.7,Rain,Friday,Afternoon,40,340
52.95,49.6,6.84,Tier 2,9.42,Clear,Thursday,Morning Peak,52,62
23.65,16.0,17.56,Tier 1,9.43,Rain,Thursday,Afternoon,54,176
66.55,47.8,8.65,Tier 1,9.53,Rain,Thursday,Afternoon,55,39
110.19,30.0,11.62,Tier 1,6.35,Rain,Tuesday,Afternoon,10,349
24.68,84.3,9.16,Tier 1,14.85,Clear,Monday,Dinner Peak,26,439
113.29,76.2,7.02,Tier 2,5.37,Clear,Thursday,Dinner Peak,57,225
49.03,64.7,12.31,Tier 1,15.35,Fog,Thursday,Afternoon,8,248
38.59,78.8,4.73,Tier 2,1.15,Clear,Wednesday,Morning Peak,30,349
110.54,77.7,2.6,Tier 1,11.64,Clear,Friday,Dinner Peak,33,205
77.09,30.4,11.86,Tier 2,8.26,Clear,Friday,Dinner Peak,40,173
31.92,36.4,5.78,Tier 1,6.89,Clear,Saturday,Afternoon,17,264
116.27,29.7,16.43,Tier 2,13.04,Rain,Wednesday,Afternoon,51,296
99.24,45.4,5.19,Tier 1,5.09,Rain,Monday,Off-Peak,56,75
83.09,30.2,5.85,Tier 2,2.67,Rain,Thursday,Off-Peak,12,320
125.47,38.4,2.71,Tier 2,5.14,Clear,Sunday,Morning Peak,41,243
77.16,49.3,7.25,Tier 1,9.7,Rain,Tuesday,Dinner Peak,27,488
65.29,75.3,9.9,Tier 2,4.78,Rain,Monday,Morning Peak,41,81
42.2,32.6,4.49,Tier 2,5.6,Clear,Saturday,Afternoon,37,432
12.92,62.4,9.78,Tier 1,6.64,Clear,Tuesday,Morning Peak,50,220
13.61,68.8,7.65,Tier 1,15.23,Heavy Snow,Monday,Afternoon,39,427
117.51,69.1,5.98,Tier 1,8.94,Rain,Thursday,Dinner Peak,36,337
98.75,20.2,16.92,Tier 2,12.53,Clear,Saturday,Morning Peak,29,65
78.98,38.5,7.09,Tier 1,2.21,Clear,Tuesday,Morning Peak,58,443
52.83,41.2,6.52,Tier 1,10.96,Rain,Saturday,Morning Peak,54,105
65.43,78.6,4.45,Tier 2,9.66,Clear,Wednesday,Dinner Peak,46,302
53.33,31.8,10.07,Tier 2,11.06,Clear,Sunday,Dinner Peak,25,269
90.64,58.6,17.01,Tier 1,5.82,Rain,Thursday,Morning Peak,26,353
39.22,37.3,6.64,Tier 3,10.96,Rain,Wednesday,Off-Peak,20,289
37.79,72.8,10.96,Tier 1,15.57,Rain,Wednesday,Dinner Peak,30,254
51.05,82.8,17.15,Tier 2,3.95,Clear,Wednesday,Dinner Peak,29,487
54.38,26.3,8.07,Tier 2,2.98,Fog,Tuesday,Afternoon,48,70
111.87,57.8,17.52,Tier 3,13.56,Heavy Snow,Monday,Dinner Peak,39,225
57.61,66.2,15.67,Tier 1,11.72,Rain,Wednesday,Dinner Peak,36,480
49.53,67.3,3.55,Tier 1,8.21,Clear,Tuesday,Off-Peak,22,252
50.93,87.8,16.72,Tier 2,12.07,Fog,Tuesday,Afternoon,4,42
48.89,17.9,6.22,Tier 2,8.2,Fog,Wednesday,Morning Peak,30,8
105.39,65.3,18.84,Tier 3,13.62,Clear,Tuesday,Morning Peak,4,374
52.62,82.5,7.05,Tier 1,15.39,Clear,Sunday,Morning Peak,3,76
77.37,21.9,14.22,Tier 2,4.93,Clear,Wednesday,Dinner Peak,18,104
55.83,18.4,2.18,Tier 2,13.44,Clear,Friday,Morning Peak,58,289
56.61,49.9,3.39,Tier 1,6.19,Fog,Saturday,Off-Peak,30,331
60.14,39.0,17.44,Tier 1,3.03,Clear,Friday,Dinner Peak,48,490
54.63,66.4,13.19,Tier 1,6.04,Clear,Monday,Afternoon,25,342
74.59,25.3,14.15,Tier 2,3.91,Rain,Friday,Morning Peak,53,167
109.05,37.3,9.17,Tier 1,3.41,Rain,Friday,Off-Peak,16,368
25.57,55.6,6.83,Tier 1,5.38,Clear,Monday,Off-Peak,32,168
80.7,51.7,10.12,Tier 3,0.83,Heavy Snow,Monday,Morning Peak,10,100
51.34,20.3,7.01,Tier 2,5.01,Clear,Tuesday,Morning Peak,46,41
105.51,82.9,13.39,Tier 1,7.8,Clear,Monday,Dinner Peak,1,117
19.46,33.0,14.76,Tier 2,14.89,Rain,Thursday,Off-Peak,27,418
107.52,57.6,12.85,Tier 3,6.25,Rain,Sunday,Morning Peak,27,468
77.34,92.6,13.68,Tier 1,6.59,Clear,Thursday,Morning Peak,12,151
36.29,52.0,18.21,Tier 1,3.87,Fog,Thursday,Afternoon,1,475
46.44,65.9,5.03,Tier 2,13.12,Fog,Friday,Off-Peak,35,393
96.61,80.1,7.52,Tier 3,14.4,Rain,Wednesday,Dinner Peak,33,157
87.76,66.5,15.78,Tier 3,4.54,Rain,Thursday,Morning Peak,52,64
46.77,77.3,5.38,Tier 1,1.77,Clear,Tuesday,Dinner Peak,58,69
22.9,28.9,2.65,Tier 1,11.04,Clear,Thursday,Morning Peak,44,248
76.28,22.8,13.95,Tier 3,10.62,Rain,Sunday,Afternoon,18,441
16.37,35.7,12.85,Tier 2,1.43,Clear,Monday,Morning Peak,52,101
92.96,49.8,10.64,Tier 1,7.14,Clear,Monday,Afternoon,51,355
63.23,74.7,6.82,Tier 1,5.42,Clear,Thursday,Dinner Peak,38,63
53.75,40.6,16.55,Tier 1,6.55,Rain,Wednesday,Afternoon,51,66
123.6,17.6,6.31,Tier 1,11.54,Clear,Monday,Dinner Peak,15,298
101.37,28.7,15.52,Tier 2,5.95,Rain,Friday,Afternoon,48,476
46.2,14.0,14.56,Tier 3,3.09,Clear,Tuesday,Afternoon,18,256
42.28,60.8,14.73,Tier 1,9.58,,Saturday,Morning Peak,2,441
55.01,49.2,16.62,Tier 2,6.77,Heavy Snow,Friday,Morning Peak,58,185
72.85,49.5,9.95,Tier 1,4.67,Clear,Friday,Morning Peak,31,381
57.68,41.6,20.12,Tier 1,8.88,Clear,Friday,Morning Peak,48,186
49.98,68.5,11.93,Tier 2,5.95,Rain,Wednesday,Afternoon,8,499
97.4,39.2,4.19,Tier 1,8.28,Clear,Tuesday,Afternoon,38,49
50.48,74.4,2.01,Tier 1,2.62,Clear,Sunday,Afternoon,3,492
86.06,19.9,20.57,Tier 1,4.08,Rain,Monday,Afternoon,19,322
71.37,42.2,17.3,Tier 1,1.52,Clear,Saturday,Dinner Peak,19,226
16.85,58.1,7.17,Tier 3,13.76,Heavy Snow,Friday,Off-Peak,9,411
73.12,81.1,7.99,Tier 1,8.71,Heavy Snow,Wednesday,Morning Peak,14,446
10.79,82.4,2.76,Tier 2,14.94,Rain,Saturday,Dinner Peak,55,89
22.19,34.8,17.51,Tier 1,4.03,Rain,Sunday,Morning Peak,4,351
102.19,67.5,14.72,Tier 2,3.39,Rain,Friday,Dinner Peak,29,397
93.26,51.2,11.89,Tier 2,6.92,Clear,Wednesday,Dinner Peak,50,93
63.88,62.7,14.05,Tier 1,5.56,Rain,Thursday,Afternoon,21,308
56.27,39.3,8.28,Tier 1,0.63,Heavy Snow,Sunday,Morning Peak,44,247
43.59,49.7,11.95,Tier 1,2.15,,Monday,Afternoon,6,184
15.52,42.6,1.23,Tier 2,3.82,Clear,Tuesday,Afternoon,2,352
106.05,69.3,1.22,Tier 1,11.0,Clear,Wednesday,Afternoon,10,342
